Character,Games,Usage rate,Wins,Winrate
Total,14884.0,0.9990602765471875,7442.0,41.04198344856845
Jigglypuff,774.0,0.05195328231977447,385.0,0.4974160206718346
Wario,772.0,0.05181903611222983,440.0,0.5699481865284974
Palutena,540.0,0.03624647603705195,277.0,0.512962962962963
Zero Suit Samus,492.0,0.03302456705598067,259.0,0.5264227642276422
Pac-Man,492.0,0.03302456705598067,266.0,0.540650406504065
Joker,462.0,0.031010873942811115,217.0,0.4696969696969697
Pyra & Mythra,442.0,0.029668411867364748,239.0,0.5407239819004525
Yoshi,422.0,0.028325949791918378,180.0,0.4265402843601896
Falco,399.0,0.026782118405155056,203.0,0.5087719298245614
Cloud,389.0,0.02611088736743187,121.0,0.3110539845758355
Greninja,380.0,0.025506779433481005,204.0,0.5368421052631579
Captain Falcon,372.0,0.024969794603302457,176.0,0.4731182795698925
Pokemon Trainer,366.0,0.024567055980668547,189.0,0.5163934426229508
Isabelle,355.0,0.023828701839173044,193.0,0.543661971830986
Mario,343.0,0.023023224593905222,157.0,0.4577259475218659
R.O.B.,343.0,0.023023224593905222,167.0,0.4868804664723032
Donkey Kong,334.0,0.022419116659954358,183.0,0.5479041916167665
Byleth,327.0,0.021949254933548126,179.0,0.5474006116207951
Kazuya,287.0,0.01926433078265539,155.0,0.5400696864111498
Link,265.0,0.017787622499664386,153.0,0.5773584905660377
Samus,254.0,0.017049268358168883,102.0,0.4015748031496063
Mii Brawler,248.0,0.01664652973553497,122.0,0.49193548387096775
Ridley,241.0,0.01617666800912874,123.0,0.5103734439834025
Ice Climbers,217.0,0.0145657135185931,131.0,0.6036866359447005
Dr. Mario,213.0,0.014297221103503826,123.0,0.5774647887323944
Diddy Kong,202.0,0.013558866962008323,91.0,0.4504950495049505
Bowser,199.0,0.013357497650691368,106.0,0.5326633165829145
Banjo-Kazooie,187.0,0.012552020405423546,110.0,0.5882352941176471
Little Mac,184.0,0.012350651094106591,106.0,0.5760869565217391
Roy,183.0,0.012283527990334274,82.0,0.44808743169398907
Young Link,177.0,0.011880789367700362,92.0,0.519774011299435
Sora,172.0,0.01154517384883877,69.0,0.4011627906976744
Wolf,166.0,0.01114243522620486,78.0,0.46987951807228917
Zelda,164.0,0.011008189018660222,87.0,0.5304878048780488
Marth,163.0,0.010941065914887905,104.0,0.6380368098159509
Luigi,160.0,0.010739696603570948,77.0,0.48125
Random Character,158.0,0.010605450396026313,95.0,0.6012658227848101
Ness,156.0,0.010471204188481676,56.0,0.358974358974359
Piranha Plant,149.0,0.010001342462075447,77.0,0.5167785234899329
Duck Hunt,149.0,0.010001342462075447,105.0,0.7046979865771812
Incineroar,145.0,0.009732850046986173,45.0,0.3103448275862069
Corrin,144.0,0.009665726943213854,86.0,0.5972222222222222
Terry,138.0,0.009262988320579944,97.0,0.7028985507246377
Hero,137.0,0.009195865216807625,77.0,0.5620437956204379
Pichu,126.0,0.008457511075312122,53.0,0.42063492063492064
Peach,125.0,0.008390387971539804,58.0,0.464
Kirby,124.0,0.008323264867767485,35.0,0.28225806451612906
Shulk,90.0,0.006041079339508659,19.0,0.2111111111111111
Ike,90.0,0.006041079339508659,52.0,0.5777777777777777
Meta Knight,83.0,0.00557121761310243,45.0,0.5421686746987951
King Dedede,80.0,0.005369848301785474,31.0,0.3875
Lucina,73.0,0.004899986575379245,12.0,0.1643835616438356
Pikachu,68.0,0.004564371056517654,32.0,0.47058823529411764
Toon Link,67.0,0.004497247952745335,29.0,0.43283582089552236
Wii Fit Trainer,64.0,0.0042958786414283795,42.0,0.65625
Sonic,62.0,0.0041616324338837425,36.0,0.5806451612903226
Steve,61.0,0.004094509330111424,40.0,0.6557377049180327
Sephiroth,61.0,0.004094509330111424,21.0,0.3442622950819672
King K. Rool,60.0,0.004027386226339106,23.0,0.38333333333333336
Lucas,58.0,0.0038931400187944692,19.0,0.3275862068965517
Fox,56.0,0.003758893811249832,20.0,0.35714285714285715
Mewtwo,56.0,0.003758893811249832,24.0,0.42857142857142855
Mr. Game & Watch,45.0,0.0030205396697543293,23.0,0.5111111111111111
Min Min,45.0,0.0030205396697543293,18.0,0.4
Robin,43.0,0.0028862934622096927,19.0,0.4418604651162791
Dark Samus,37.0,0.002483554839575782,8.0,0.21621621621621623
Chrom,36.0,0.0024164317358034634,21.0,0.5833333333333334
Pit,35.0,0.002349308632031145,26.0,0.7428571428571429
Ganondorf,35.0,0.002349308632031145,17.0,0.4857142857142857
Inkling,34.0,0.002282185528258827,14.0,0.4117647058823529
Simon Belmont,34.0,0.002282185528258827,6.0,0.17647058823529413
Dark Pit,29.0,0.0019465700093972346,10.0,0.3448275862068966
Lucario,28.0,0.001879446905624916,4.0,0.14285714285714285
Olimar,28.0,0.001879446905624916,21.0,0.75
Ryu,27.0,0.0018123238018525976,16.0,0.5925925925925926
Richter,27.0,0.0018123238018525976,8.0,0.2962962962962963
Villager,23.0,0.001543831386763324,9.0,0.391304347826087
Bowser Jr.,22.0,0.0014767082829910056,11.0,0.5
Ken,21.0,0.001409585179218687,10.0,0.47619047619047616
Sheik,19.0,0.0012753389716740502,6.0,0.3157894736842105
Mii Swordfighter,14.0,0.000939723452812458,6.0,0.42857142857142855
Rosalina,14.0,0.000939723452812458,5.0,0.35714285714285715
Bayonetta,9.0,0.0006041079339508659,3.0,0.3333333333333333
Snake,4.0,0.0002684924150892737,1.0,0.25
Mii Gunner,4.0,0.0002684924150892737,4.0,1.0
Daisy,3.0,0.0002013693113169553,0.0,0.0
Mega Man,2.0,0.00013424620754463686,1.0,0.5
